,street,county,state,zip
109172,2200  AVENUE F   BIRMINGHAM,Jefferson County,AL,352181717
109173,2224  AVENUE G   BIRMINGHAM,Jefferson County,AL,352181768
109174,2319  AVENUE F   BIRMINGHAM,Jefferson County,AL,352181834
109175,1290  AVENUE M   BIRMINGHAM,Jefferson County,AL,352181035
109176,1262  AVENUE M   BIRMINGHAM,Jefferson County,AL,352181035
109177,1009  14TH ST S BIRMINGHAM,Jefferson County,AL,35205
109178,1327  AVENUE K   BIRMINGHAM,Jefferson County,AL,352181101
109179,1306  AVENUE M   BIRMINGHAM,Jefferson County,AL,352181122
109180,1324  AVENUE R   BIRMINGHAM,Jefferson County,AL,352181157
109181,1300  AVENUE R   BIRMINGHAM,Jefferson County,AL,352181157
109182,1422  AVENUE H   BIRMINGHAM,Jefferson County,AL,352181264
109183,1500  AVENUE H   BIRMINGHAM,Jefferson County,AL,352181356
109184,1513  AVENUE H   BIRMINGHAM,Jefferson County,AL,352181357
109185,1512  AVENUE I   BIRMINGHAM,Jefferson County,AL,352181314
109186,1520  AVENUE J   BIRMINGHAM,Jefferson County,AL,352181330
109187,1014  16TH ST  BIRMINGHAM,Jefferson County,AL,35228
109188,1726  18TH ST N BIRMINGHAM,Jefferson County,AL,352341637
109189,1609  AVENUE I   BIRMINGHAM,Jefferson County,AL,352181329
109190,1612  AVENUE I   BIRMINGHAM,Jefferson County,AL,352181360
109191,921  18TH ST  BIRMINGHAM,Jefferson County,AL,35218
109192,1430  19TH ST  BIRMINGHAM,Jefferson County,AL,352182008
109193,1525  18TH ST SW BIRMINGHAM,Jefferson County,AL,352114729
109194,1705  18TH ST N BIRMINGHAM,Jefferson County,AL,35234
109195,1616  19TH ST  BIRMINGHAM,Jefferson County,AL,352182050
109196,1829  18TH PL N BIRMINGHAM,Jefferson County,AL,35234
109197,1840  19TH AVE N BIRMINGHAM,Jefferson County,AL,35234
109198,1831  19TH AVE N BIRMINGHAM,Jefferson County,AL,35234
109199,1827  19TH AVE N BIRMINGHAM,Jefferson County,AL,35234
109200,1844  20TH ST  BIRMINGHAM,Jefferson County,AL,35218
109201,1920  AVENUE  S BIRMINGHAM,Jefferson County,AL,35218
109202,1535  19TH ST SW BIRMINGHAM,Jefferson County,AL,35211
109203,913  AVENUE U   BIRMINGHAM,Jefferson County,AL,352146249
109204,905  AVENUE T   BIRMINGHAM,Jefferson County,AL,352146247
109205,915  AVENUE T   BIRMINGHAM,Jefferson County,AL,352146247
109206,929  AVENUE T   BIRMINGHAM,Jefferson County,AL,352146263
109207,923  AVENUE  S BIRMINGHAM,Jefferson County,AL,352146243
109208,2211  10TH PL  BIRMINGHAM,Jefferson County,AL,352146227
109209,2220  10TH PL  BIRMINGHAM,Jefferson County,AL,352146228
109210,1921  10TH ST  BIRMINGHAM,Jefferson County,AL,352146217
109211,1904  10TH PL  BIRMINGHAM,Jefferson County,AL,352146222
109212,2204  10TH WAY  BIRMINGHAM,Jefferson County,AL,352146236
109213,2516  15TH ST  BIRMINGHAM,Jefferson County,AL,352081110
109214,2328  15TH ST  BIRMINGHAM,Jefferson County,AL,352081108
109215,1245  AVENUE T   BIRMINGHAM,Jefferson County,AL,35218
109216,1305  AVENUE U   BIRMINGHAM,Jefferson County,AL,35218
109217,1618  AVENUE T   BIRMINGHAM,Jefferson County,AL,35218
109218,1715  AVENUE U   BIRMINGHAM,Jefferson County,AL,352181450
109219,2313  17TH ST  BIRMINGHAM,Jefferson County,AL,352081115
109220,2308  18TH PL SW BIRMINGHAM,Jefferson County,AL,35211
109221,2520  BUSH BLVD  BIRMINGHAM,Jefferson County,AL,35208
109222,2521  20TH ST  BIRMINGHAM,Jefferson County,AL,352081603
109223,2509  20TH AVE N BIRMINGHAM,Jefferson County,AL,352341809
109224,2309  20TH AVE S BIRMINGHAM,Jefferson County,AL,352231061
109225,2316  20TH AVE S BIRMINGHAM,Jefferson County,AL,352231075
109226,1716  7TH AVE W BIRMINGHAM,Jefferson County,AL,352082304
109227,1711  7TH AVE W BIRMINGHAM,Jefferson County,AL,352082303
109228,2838  BUSH BLVD  BIRMINGHAM,Jefferson County,AL,352082228
109229,2846  BUSH BLVD  BIRMINGHAM,Jefferson County,AL,35208
109230,2829  BUSH BLVD  BIRMINGHAM,Jefferson County,AL,352082227
109231,2800  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109232,2824  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109233,2836  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109234,2842  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109235,2846  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109236,2860  20TH ST  BIRMINGHAM,Jefferson County,AL,352082206
109237,2708  20TH ST  BIRMINGHAM,Jefferson County,AL,352082204
109238,2645  20TH ST  BIRMINGHAM,Jefferson County,AL,352082201
109239,2609  20TH ST  BIRMINGHAM,Jefferson County,AL,352082201
109240,2608  21ST ST  BIRMINGHAM,Jefferson County,AL,352082214
109241,2725  20TH ST  BIRMINGHAM,Jefferson County,AL,352082203
109242,2712  20TH PL  BIRMINGHAM,Jefferson County,AL,352082210
109243,2812  20TH PL  BIRMINGHAM,Jefferson County,AL,352082212
109244,2860  20TH PL  BIRMINGHAM,Jefferson County,AL,352082212
109245,2853  20TH PL  BIRMINGHAM,Jefferson County,AL,352082211
109246,2813  20TH PL  BIRMINGHAM,Jefferson County,AL,352082211
109247,2755  20TH PL  BIRMINGHAM,Jefferson County,AL,352082209
109248,2745  20TH PL  BIRMINGHAM,Jefferson County,AL,352082209
109249,2734  21ST ST  BIRMINGHAM,Jefferson County,AL,352082216
109250,1020  7TH PL W BIRMINGHAM,Jefferson County,AL,352042919
